feast_code,LFRI_name
01000000,In tempore Adventus
01001000,"Adv., dom."
01007000,"Adv., sabb."
01011000,"Adventus, dom. 1"
01012000,"Adv., hebd. 1, fer. 2"
01013000,"Adv., hebd. 1, fer. 3"
01014000,"Adv., hebd. 1, fer. 4"
01015000,"Adv., hebd. 1, fer. 5"
01016000,"Adv., hebd. 1, fer. 6"
01017000,"Adv., hebd. 1, sabbato"
01018000,"Adv., hebd 1"
01021000,"Adventus, dom. 2"
01022000,"Adv., hebd. 2, fer. 2"
01023000,"Adv., hebd. 2, fer. 3"
01024000,"Adv., hebd. 2, fer. 4"
01025000,"Adv., hebd. 2, fer. 5"
01026000,"Adv., hebd. 2, fer. 6"
01027000,"Adv., hebd. 2, sabbato"
01028000,"Adv., hebd. 2"
01031000,"Adventus, dom. 3"
01032000,"Adv., hebd. 3, fer. 2"
01033000,"Adv., hebd. 3, fer. 3"
01034000,"Adv., hebd. 3, fer. 4"
01034009,"Adv., hebd. 3, fer. 4 Q.T."
01035000,"Adv., hebd. 3, fer. 5"
01036000,"Adv., hebd. 3, fer. 6"
01036009,"Adv., hebd. 3, fer. 6 Q.T."
01037000,"Adv., hebd. 3, sabbato"
01037009,"Adv., hebd. 3, sabbato Q.T."
01038000,"Adv., hebd. 3"
01041000,"Adventus, dom. 4"
01042000,"Adv., hebd. 4, fer. 2"
01043000,"Adv., hebd. 4, fer. 3"
01044000,"Adv., hebd. 4, fer. 4"
01045000,"Adv., hebd. 4, fer. 5"
01046000,"Adv., hebd. 4, fer. 6"
01047000,"Adv., hebd. 4, sabbato"
01048000,"Adv., hebd. 4"
01048010,"Adv., Antiphonae Majores"
02010100,"Nativitas Domini, oct."
02010108,"Nativitas Domini, hebd. p. oct."
02010110,Circumcisio Domini
02010400,"Nat. Innocentium, oct."
02010500,"Epiphania, vig."
02122100,Die 5 a. Nat. Domini
02122400,"Nativitas Domini, vig."
02122500,Nativitas Domini
02122508,"Nativitas Domini, infra oct."
02122600,Stephani
02122608,"Stephani, infra oct."
02122700,Joannis Evang.
02122708,"Joannis Evang., infra oct."
02122800,Nat. Innocentium
02122808,"Nat. Innocentium, infra oct."
02122900,Die 5 p. Nat. Domini
02123000,Die 6 p. Nat. Domini
02123100,Die 7 p. Nat. Domini
03000000,In tempore Nat.
03021000,Dom. p. Nat. Dom.
03031000,Dom. p. Oct. Nat.
04000000,Fest. per annum
04001000,Dom. per annum
04002000,Fer. 2 per annum
04003000,Fer. 3 per annum
04004000,Fer. 4 per annum
04005000,Fer. 5 per annum
04006000,Fer. 6 per annum
04007000,Sabbato per annum
04008000,Hebd. per annum
05000000,In tempore Epiph.
05001000,Dom. p. Epiphaniam
05010600,Epiphania
05010608,"Epiphania, infra oct."
05010700,Die 2 p. Epiph.
05010800,Die 3 p. Epiph.
05010900,Die 4 p. Epiph.
05011000,Die 5 p. Epiph.
05011010,Dom. 1 p. Epiph.
05011100,Die 6 p. Epiph.
05011300,"Epiphania, oct."
05021000,Dom. 2 p. Epiph.
05022000,"Hebd. 2 p. Epiph., fer. 2"
05023000,"Hebd. 2 p. Epiph., fer. 3"
05024000,"Hebd. 2 p. Epiph., fer. 4"
05025000,"Hebd. 2 p. Epiph., fer. 5"
05026000,"Hebd. 2 p. Epiph., fer. 6"
05027000,"Hebd. 2 p. Epiph., sabbato"
05031000,Dom. 3 p. Epiph.
05041000,Dom. 4 p. Epiph.
05051000,Dom. 5 p. Epiph.
05061000,Dom. 6 p. Epiph.
06011000,"Septuagesimae, dom."
06012000,"Septuag., fer. 2"
06013000,"Septuag., fer. 3"
06014000,"Septuag., fer. 4"
06015000,"Septuag., fer. 5"
06016000,"Septuag., fer. 6"
06017000,"Septuag., sabbato"
06018000,"Septuag., hebd."
06021000,"Sexagesimae, dom."
06022000,"Sexag., fer. 2"
06023000,"Sexag., fer. 3"
06024000,"Sexag., fer. 4"
06025000,"Sexag., fer. 5"
06026000,"Sexag., fer. 6"
06027000,"Sexag., sabbato"
06028000,"Sexag., hebd."
06031000,"Quinquagesimae, dom."
06032000,"Quinquag., fer. 2"
06033000,"Quinquag., fer. 3"
06034000,Fer. 4 Cinerum
06035000,Fer. 5 post Cineres
06036000,Fer. 6 post Cineres
06037000,Sabbato post Cineres
06038000,"Quinquag., hebd."
07000000,In tempore Quadragesimae
07001000,"Quadrag., dom."
07002000,"Quadrag., fer. 2"
07003000,"Quadrag., fer. 3"
07004000,"Quadrag., fer. 4"
07005000,"Quadrag., fer. 5"
07006000,"Quadrag., fer. 6"
07007000,"Quadrag., sabb."
07010009,Q. T. Quadragesimae
07011000,"Quadragesima, dom. 1"
07012000,"Quadrag., hebd. 1, fer. 2"
07013000,"Quadrag., hebd. 1, fer. 3"
07014000,"Quadrag., hebd. 1, fer. 4"
07014009,"Quadrag., hebd. 1, fer. 4 Q.T."
07015000,"Quadrag., hebd. 1, fer. 5"
07016000,"Quadrag., hebd. 1, fer. 6"
07016009,"Quadrag., hebd. 1, fer. 6 Q.T."
07017000,"Quadrag., hebd. 1, sabbato"
07018000,"Quadrag., hebd. 1"
07021000,"Quadragesima, dom. 2"
07022000,"Quadrag., hebd. 2, fer. 2"
07023000,"Quadrag., hebd. 2, fer. 3"
07024000,"Quadrag., hebd. 2, fer. 4"
07025000,"Quadrag., hebd. 2, fer. 5"
07026000,"Quadrag., hebd. 2, fer. 6"
07027000,"Quadrag., hebd. 2, sabbato"
07028000,"Quadrag., hebd. 2"
07031000,"Quadragesima, dom. 3"
07032000,"Quadrag., hebd. 3, fer. 2"
07033000,"Quadrag., hebd. 3, fer. 3"
07034000,"Quadrag., hebd. 3, fer. 4"
07035000,"Quadrag., hebd. 3, fer. 5"
07036000,"Quadrag., hebd. 3, fer. 6"
07037000,"Quadrag., hebd. 3, sabbato"
07038000,"Quadrag., hebd. 3"
07041000,"Quadragesima, dom. 4"
07042000,"Quadrag., hebd. 4, fer. 2"
07043000,"Quadrag., hebd. 4, fer. 3"
07044000,"Quadrag., hebd. 4, fer. 4"
07045000,"Quadrag., hebd. 4, fer. 5"
07046000,"Quadrag., hebd. 4, fer. 6"
07047000,"Quadrag., hebd. 4, sabbato"
07048000,"Quadrag., hebd. 4"
07051000,Dom. de Passione
07052000,Fer. 2 de Passione
07053000,Fer. 3 de Passione
07054000,Fer. 4 de Passione
07055000,Fer. 5 de Passione
07056000,Fer. 6 de Passione
07057000,Sabb. de Passione
07058000,Hebd. de Passione
07061000,Dom. in Palmis
07062000,Fer. 2 Maj. Hebd.
07063000,Fer. 3 Maj. Hebd.
07064000,Fer. 4 Maj. Hebd.
07065000,Fer. 5 in Cena Dom.
07065010,Ad Mandatum
07066000,Fer. 6 in Parasceve
07067000,Sabbato Sancto
07068000,Hebd. Sancta
07069000,In Triduum
08000000,In tempore Paschae
08008000,Hebd. TP
08011000,Dom. Resurrectionis
08011008,"Dom. Resurrect., infra oct."
08012000,Fer. 2 p. Pascha
08013000,Fer. 3 p. Pascha
08014000,Fer. 4 p. Pascha
08015000,Fer. 5 p. Pascha
08016000,Fer. 6 p. Pascha
08017000,Sabbato in Albis
08021000,Dominica in Albis (Octava Paschae)
08022000,"Pasc., hebd. 2, fer. 2"
08023000,"Pasc., hebd. 2, fer. 3"
08024000,"Pasc., hebd. 2, fer. 4"
08025000,"Pasc., hebd. 2, fer. 5"
08026000,"Pasc., hebd. 2, fer. 6"
08027000,"Pasc., hebd. 2, sabbato"
08028000,"Pasc., hebd. 2"
08031000,Dom. 2 p. Pascha
08032000,"Pasc., hebd. 3, fer. 2"
08033000,"Pasc., hebd. 3, fer. 3"
08034000,"Pasc., hebd. 3, fer. 4"
08035000,"Pasc., hebd. 3, fer. 5"
08036000,"Pasc., hebd. 3, fer. 6"
08037000,"Pasc., hebd. 3, sabbato"
08038000,"Pasc., hebd. 3"
08041000,Dom. 3 p. Pascha
08042000,"Pasc., hebd. 4, fer. 2"
08042500,In Letaniis maj.
08043000,"Pasc., hebd. 4, fer. 3"
08044000,"Pasc., hebd. 4, fer. 4"
08045000,"Pasc., hebd. 4, fer. 5"
08046000,"Pasc., hebd. 4, fer. 6"
08047000,"Pasc., hebd. 4, sabbato"
08048000,"Pasc., hebd. 4"
08051000,Dom. 4 p. Pascha
08052000,"Pasc., hebd. 5, fer. 2"
08053000,"Pasc., hebd. 5, fer. 3"
08054000,"Pasc., hebd. 5, fer. 4"
08055000,"Pasc., hebd. 5, fer. 5"
08056000,"Pasc., hebd. 5, fer. 6"
08057000,"Pasc., hebd. 5, sabbato"
08058000,"Pasc., hebd. 5"
08061000,Dom. 5 p. Pascha
08062000,Fer. 2 in Letaniis
08063000,Fer. 3 in Letaniis
08064000,Fer. 4 in Letaniis
08064001,"Ascensio Domini, vig."
08065000,Ascensio Domini
08065008,"Ascensio Domini, infra oct."
08066000,Fer. 6 p. Ascensio.
08067000,Sabb. p. Ascensio.
08068010,In Letaniis
08071000,Dom. p. Ascensio.
08072000,Fer. 2 p. Ascensio.
08073000,Fer. 3 p. Ascensio.
08074000,Fer. 4 p. Ascensio.
08075000,"Ascensio Domini, oct."
08077000,"Pent., vig."
08081000,Pentecostes
08081008,"Pent., infra oct."
08082000,"Pent., fer. 2"
08083000,"Pent., fer. 3"
08084000,"Pent., fer. 4"
08084009,"Pent., fer. 4 Q.T."
08085000,"Pent., fer. 5"
08086000,"Pent., fer. 6"
08086009,"Pent., fer. 6 Q.T."
08087000,"Pent., sabbato"
08087009,"Pent., sabbato Q.T."
08091000,"Pentecostes, oct."
09008000,"Pent., hebd."
09011000,Sanctissimae Trinitatis
09011008,"SS. Trinitatis, infra oct."
09011010,Dom. 1 p. Pent.
09012000,"SS. Trinitatis, fer. 2"
09013000,"SS. Trinitatis, fer. 3"
09014000,"SS. Trinitatis, fer. 4"
09015000,Corporis Christi
09015008,"Corporis Christi, infra oct."
09016000,Fer. 6 p. Cor. Christi
09017000,Sabb. p. Cor. Christi
09021000,Dom. 2 p. Pent.
